tax_id,ncbi_name,ncbi_rank,species_tax_id,species_name,mapping_source
28147,Salmonella enterica subsp. enterica serovar Oranienburg,no rank,28901.0,Salmonella enterica,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
28171,Vibrio aestuarianus,species,28171.0,Vibrio aestuarianus,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
28184,Leptospira weilii,species,28184.0,Leptospira weilii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
28229,Colwellia psychrerythraea,species,28229.0,Colwellia psychrerythraea,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
28258,Cobetia marina,species,28258.0,Cobetia marina,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
28264,Arcanobacterium haemolyticum,species,28264.0,Arcanobacterium haemolyticum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
28447,Clavibacter michiganensis,species,28447.0,Clavibacter michiganensis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
28450,Burkholderia pseudomallei,species,28450.0,Burkholderia pseudomallei,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
28572,Talaromyces funiculosus,species,28572.0,Talaromyces funiculosus,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
28896,Thermoanaerobacterium saccharolyticum,species,28896.0,Thermoanaerobacterium saccharolyticum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
28901,Salmonella enterica,species,28901.0,Salmonella enterica,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
28985,Kluyveromyces lactis,species,28985.0,Kluyveromyces lactis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29001,Alternaria brassicicola,species,29001.0,Alternaria brassicicola,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29312,Mycobacterium lufu,species,29312.0,Mycobacterium lufu,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29313,Mycobacterium shimoidei,species,29313.0,Mycobacterium shimoidei,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29318,Winkia neuii subsp. anitrata,subspecies,33007.0,Winkia neuii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29339,Bacillus thuringiensis serovar kurstaki,no rank,1428.0,Bacillus thuringiensis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29347,[Clostridium] scindens,species,29347.0,[Clostridium] scindens,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29348,Thomasclavelia spiroformis,species,29348.0,Thomasclavelia spiroformis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29354,Lacrimispora celerecrescens,species,29354.0,Lacrimispora celerecrescens,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29361,Faecalimonas nexilis,species,29361.0,Faecalimonas nexilis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29363,Clostridium paraputrificum,species,29363.0,Clostridium paraputrificum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29379,Staphylococcus auricularis,species,29379.0,Staphylococcus auricularis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29382,Staphylococcus cohnii,species,29382.0,Staphylococcus cohnii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29385,Staphylococcus saprophyticus,species,29385.0,Staphylococcus saprophyticus,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29388,Staphylococcus capitis,species,29388.0,Staphylococcus capitis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29390,Streptococcus gordonii str. Challis,strain,1302.0,Streptococcus gordonii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29391,Gemella morbillorum,species,29391.0,Gemella morbillorum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29430,Acinetobacter haemolyticus,species,29430.0,Acinetobacter haemolyticus,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29442,Pseudomonas tolaasii,species,29442.0,Pseudomonas tolaasii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29447,Xanthomonas albilineans,species,29447.0,Xanthomonas albilineans,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29459,Brucella melitensis,species,29459.0,Brucella melitensis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29461,Brucella suis,species,29461.0,Brucella suis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29466,Veillonella parvula,species,29466.0,Veillonella parvula,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29471,Pectobacterium atrosepticum,species,29471.0,Pectobacterium atrosepticum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29482,Salmonella enterica subsp. enterica serovar Abony,no rank,28901.0,Salmonella enterica,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29486,Yersinia ruckeri,species,29486.0,Yersinia ruckeri,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29489,Aeromonas enteropelogenes,species,29489.0,Aeromonas enteropelogenes,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29491,Aeromonas salmonicida subsp. salmonicida,subspecies,645.0,Aeromonas salmonicida,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29497,Vibrio splendidus,species,29497.0,Vibrio splendidus,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29518,Borreliella afzelii,species,29518.0,Borreliella afzelii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29519,Borreliella garinii,species,29519.0,Borreliella garinii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29524,Porphyromonas circumdentaria,species,29524.0,Porphyromonas circumdentaria,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29830,Starmerella apicola,species,29830.0,Starmerella apicola,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29833,Hanseniaspora uvarum,species,29833.0,Hanseniaspora uvarum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29850,Gaeumannomyces graminis,species,29850.0,Gaeumannomyces graminis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29908,Sporothrix schenckii,species,29908.0,Sporothrix schenckii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29910,Tolypocladium inflatum,species,29910.0,Tolypocladium inflatum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29911,Alternaria brassicae,species,29911.0,Alternaria brassicae,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29917,Cladosporium cladosporioides,species,29917.0,Cladosporium cladosporioides,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29918,Cladosporium herbarum,species,29918.0,Cladosporium herbarum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29920,Phytophthora cactorum,species,29920.0,Phytophthora cactorum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29922,Mucor mucedo,species,29922.0,Mucor mucedo,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
29923,Amylomyces rouxii,species,29923.0,Amylomyces rouxii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
31964,Clavibacter sepedonicus,species,31964.0,Clavibacter sepedonicus,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
31973,Eggerthia catenaformis,species,31973.0,Eggerthia catenaformis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
32013,Comamonas terrigena,species,32013.0,Comamonas terrigena,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
32019,Campylobacter fetus subsp. fetus,subspecies,196.0,Campylobacter fetus,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
32022,Campylobacter jejuni subsp. jejuni,subspecies,197.0,Campylobacter jejuni,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33010,Cutibacterium avidum,species,33010.0,Cutibacterium avidum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33011,Cutibacterium granulosum,species,33011.0,Cutibacterium granulosum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33013,Clavibacter michiganensis subsp. michiganensis,subspecies,28447.0,Clavibacter michiganensis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33014,Clavibacter michiganensis subsp. insidiosus,subspecies,28447.0,Clavibacter michiganensis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33028,Staphylococcus saccharolyticus,species,33028.0,Staphylococcus saccharolyticus,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33030,Peptoniphilus indolicus,species,33030.0,Peptoniphilus indolicus,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33031,Peptoniphilus lacrimalis,species,33031.0,Peptoniphilus lacrimalis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33032,Anaerococcus lactolyticus,species,33032.0,Anaerococcus lactolyticus,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33033,Parvimonas micra,species,33033.0,Parvimonas micra,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33034,Anaerococcus prevotii,species,33034.0,Anaerococcus prevotii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33035,Blautia producta,species,33035.0,Blautia producta,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33036,Anaerococcus tetradius,species,33036.0,Anaerococcus tetradius,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33037,Anaerococcus vaginalis,species,33037.0,Anaerococcus vaginalis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33038,Mediterraneibacter gnavus,species,33038.0,Mediterraneibacter gnavus,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33039,Mediterraneibacter torques,species,33039.0,Mediterraneibacter torques,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33069,Pseudomonas viridiflava,species,33069.0,Pseudomonas viridiflava,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33072,Gloeobacter violaceus,species,33072.0,Gloeobacter violaceus,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33173,Eremothecium coryli,species,33173.0,Eremothecium coryli,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33178,Aspergillus terreus,species,33178.0,Aspergillus terreus,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33195,Bipolaris oryzae,species,33195.0,Bipolaris oryzae,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33203,Purpureocillium lilacinum,species,33203.0,Purpureocillium lilacinum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33887,Rathayibacter rathayi,species,33887.0,Rathayibacter rathayi,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33892,Mycobacterium tuberculosis variant bovis BCG,no rank,1773.0,Mycobacterium tuberculosis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33895,Mycobacterium interjectum,species,33895.0,Mycobacterium interjectum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
